Test Case ID,Req ID,Category,Test Case Name,Description,Master Stimulus,Slave Response,Expected Result,Coverage/Assertion ID,Priority
TC_RST_001,REQ_RST_01,Reset & Idle,Idle State Initialization,Verify signals are correctly driven to idle state after reset.,Assert PRESETn=0 then 1.,N/A,"PSEL=0, PENABLE=0 after reset sequence.",AST_IDLE_01,High
TC_RST_002,REQ_RST_02,Reset & Idle,Mid-transaction Reset,Verify system recovery when reset occurs during SETUP or ACCESS phase.,"Start transaction, assert PRESETn=0 before PREADY=1.",Slave resets internal state.,Transaction is aborted immediately. Master/Slave return to IDLE safely.,COV_RST_01,High
TC_BSC_001,REQ_BSC_01,Basic,Basic Single Write,Verify single write without wait states.,Drive 1 write transaction.,PREADY=1 immediately.,Data written. 2-cycle completion.,COV_WR_01,High
TC_BSC_002,REQ_BSC_02,Basic,Basic Single Read,Verify single read without wait states.,Drive 1 read transaction.,"PREADY=1, valid PRDATA.",Data read matches. 2-cycle completion.,COV_RD_01,High
TC_BSC_003,REQ_BSC_03,Basic,Back-to-Back Mixed,Verify continuous write/read transitions without IDLE.,Drive B2B writes and reads.,PREADY=1 immediately.,No dropped packets. PSEL remains 1.,COV_B2B_01,High
TC_TIM_001,REQ_TIM_01,Corner Case Timing,Random Wait States,Verify master holds signals during PREADY=0.,Drive R/W transactions.,Random wait states (1-15).,Master holds PADDR/PWRITE/PWDATA stable.,COV_WAIT_01,High
TC_TIM_002,REQ_TIM_02,Corner Case Timing,Timeout Watchdog Trigger,Verify watchdog triggers UVM_ERROR when PREADY=0 exceeds limit.,Drive transaction.,Delay PREADY beyond timeout limit (e.g. 105 cycles).,Watchdog aborts transaction and issues UVM_ERROR.,COV_WAIT_MAX,High
TC_TIM_003,REQ_TIM_03,Corner Case Timing,Master Idle & Slave Wait Stress,Verify bus stability when Master delays SETUP and Slave delays PREADY.,Drive random idle cycles before SETUP.,Delay PREADY with random wait states.,"Data integrity maintained, SVA assertions pass.",COV_TIM_STRESS,High
TC_ERR_001,REQ_ERR_01,Error Handling,Single PSLVERR,Verify slave error reporting.,Drive R/W.,"PREADY=1, PSLVERR=1.","Monitor captures error, Scoreboard flags it.",COV_ERR_01,High
TC_ERR_002,REQ_ERR_02,Error Handling,Consecutive PSLVERR,Verify behavior on continuous errors.,Drive B2B R/W.,Consecutive PSLVERR=1.,"System remains stable, logs multiple errors.",COV_ERR_02,Medium
TC_FEAT_001,REQ_AP4_01,APB4/5,Partial PSTRB Coverage,Verify partial byte lane masking.,Drive write with partial PSTRB.,Update only selected bytes.,Memory correctly masked. Scoreboard aligns bytes.,COV_STRB_PRT,Medium
TC_FEAT_002,REQ_AP4_02,APB4/5,Zero PSTRB Coverage,Verify write with all PSTRB bits low (Zero Strobe).,Drive write with PSTRB=0.,"Respond normally, do not alter memory.",Memory remains unchanged. Scoreboard verifies NO write occurred.,COV_STRB_ZR,High
TC_FEAT_003,REQ_AP4_03,APB4/5,PPROT Combinations,"Verify privileged, secure, and data/instruction accesses.",Drive all combinations of PPROT[2:0].,Respond normally.,Protocol attributes routed correctly and captured.,COV_PROT_ALL,Medium
TC_FEAT_004,REQ_AP5_01,APB4/5,User Signals Routing,"Verify PAUSER, PWUSER, PRUSER, PBUSER propagation.",Drive random PAUSER/PWUSER signals.,Return random PRUSER/PBUSER.,All user signals captured correctly by Monitor.,COV_USR_SIG,Low
TC_FEAT_005,REQ_AP5_02,APB4/5,Low Power PWAKEUP,Verify PWAKEUP timing (Clock Gating).,Drive PWAKEUP=1 before transaction.,Acknowledge wakeup.,PWAKEUP asserted at least 1 cycle before PSEL.,AST_WUP_01,High
